question_number,topic,decision,democratic_support_liberal_endpoint,republican_support_conservative_endpoint,evidence_fit,passes_30_percent,passes_40_percent,passes_50_percent,passes_30_percent_without_explicit_proxies,assessment,source_title,source_url
12,Expansionism,fail,large majority,20%,proxy,false,false,false,false,Support for using force to acquire Greenland is narrower than general territorial conquest and is only 20%.,YouGov — public opinion on using force to acquire Greenland,https://yougov.com/en-us/articles/51795-donald-trump-economy-republican-unity-ukraine-war-education-march-9-11-2025-economist-yougov-poll
13,Firing Government Workers,pass,89%,78%,proxy,true,true,true,false,Party reactions to federal workforce reductions are an action proxy; both shares exceed 30%.,Pew Research Center — views of federal workforce reductions,https://www.pewresearch.org/politics/2025/04/23/tariffs-dei-and-cuts-to-government-views-of-trumps-key-actions/
14,Free Speech,pass,44%,70%,proxy,true,true,false,false,"The survey asks whether speech should ever be restricted, not specifically whether legal protections should exclude hate speech. The inferred Democratic share still exceeds 30%.",Vanderbilt Unity Poll — free-speech restrictions,https://news.vanderbilt.edu/2024/06/25/vanderbilt-unity-poll-june-2024/
15,Gay Conversion,pass,62%,43%,proxy,true,true,false,false,"The poll asks whether practices intended to change a young person’s sexual orientation or gender identity should be banned or allowed. This is broader than the prompt’s reference to camps, but 62% of Democrats chose banned and 43% of Republicans chose allowed, so both endpoints clear 30%.",Data for Progress — conversion-therapy survey crosstabs,https://www.filesforprogress.org/datasets/2025/6/dfp_conversion_therapy.pdf
16,Gov. Control Colleges,pass,76%,39%,proxy,true,false,false,false,State authority to restrict teaching is a proxy for government control over classes. Both party shares exceed 30%.,AP-NORC and University of Chicago — government restrictions on college teaching,https://apnorc.org/wp-content/uploads/2023/09/APNORC-UChicago-Freedom-of-Speech-Report-Final.pdf
17,Gun Control,pass,88%,75%,close match,true,true,true,true,"Democratic support for stricter laws is 88%. On the Republican side, keeping laws unchanged or making them less strict together matches the broad-rights alternative and totals 75%.","Gallup — preferences for stricter, unchanged, or less-strict gun laws",https://news.gallup.com/poll/513623/majority-continues-favor-stricter-gun-laws.aspx
18,Health Care,pass,53%,at least 60%,proxy,true,true,true,false,Support for one national program is a close liberal measure. Republican opposition to federal responsibility for coverage is a market-oriented proxy. Both exceed 30%.,Pew Research Center — government responsibility and health-care systems,https://www.pewresearch.org/2024/06/24/americans-views-of-government-aid-to-poor-role-in-health-care-and-social-security/
19,Mass Deportations,pass,89%,56%,close match,true,true,true,true,"The polling closely matches permission to remain versus national deportation, and both party shares exceed 30%.",Pew Research Center — immigration and national deportation,https://www.pewresearch.org/politics/2025/06/17/how-the-u-s-should-handle-immigrants-living-in-the-country-illegally/
20,Minimum Wage,fail,87%,not established,mismatch,false,false,false,false,Republican opposition to a $15 minimum does not establish support for keeping the federal minimum at $7.25; the exact conservative endpoint is not established.,Pew Research Center — the federal minimum wage,https://www.pewresearch.org/short-reads/2021/04/22/most-americans-support-a-15-federal-minimum-wage/
21,National Religion,fail,large majority,27%,direct,false,false,false,false,"The Republican share supporting the national-religion alternative is 27%, below the threshold.",Pew Research Center — religion in government and public life,https://www.pewresearch.org/religion/2026/05/14/how-americans-feel-about-religions-influence-in-government-and-public-life/
22,PC Language,fail,not established,not established,no adequate poll,false,false,false,false,"Terminology surveys exist, but no adequate party-specific poll was found on whether official policies should use ‘unhoused’ rather than ‘homeless.’",Psychiatric Services — national terminology surveys concerning homelessness,https://psychiatryonline.org/doi/10.1176/appi.ps.202100708
23,Russia Ally,fail,large majority,12%,proxy,false,false,false,false,"Treating Russia as a partner is only a proxy for calling it an ally, and the Republican share is 12%.",Pew Research Center — American views of Russia,https://www.pewresearch.org/2025/04/17/how-americans-view-russia-and-putin/
24,School Vouchers,pass,32%,68%,direct,true,false,false,true,A defined-voucher question directly measures Democratic opposition and Republican support; both exceed 30%.,Morning Consult and EdChoice — defined-voucher polling,https://edchoice.morningconsultintelligence.com/assets/322715.pdf
25,Student Loan Debt,pass,71%,57%,direct,true,true,true,true,The prompt does not require cancellation of all debt. Democratic support for some or all cancellation and Republican support for no cancellation both exceed 30%.,YouGov — student-loan cancellation by party,https://yougov.com/en-us/articles/49386/explaining-partisan-gap-support-student-loan-debt-forgiveness-poll
26,Tariffs,pass,90%,70%,direct,true,true,true,true,The party-specific tariff preferences directly match the prompt and both exceed 30%.,Pew Research Center — tariffs and other federal actions,https://www.pewresearch.org/politics/2025/04/23/tariffs-dei-and-cuts-to-government-views-of-trumps-key-actions/
27,Taxes on Wealthy,pass,77%,38%,direct,true,false,false,true,The survey directly reports support for raising high-income tax rates and keeping them unchanged; both party shares exceed 30%.,Pew Research Center — tax rates on high-income households,https://www.pewresearch.org/wp-content/uploads/sites/20/2021/09/PP_2021.09.23_biden-economy_REPORT.pdf
28,Trans Rights,fail,not established,large majority,mismatch,false,false,false,false,Polling that combines surgery with hormones or broader gender-affirming care does not establish Democratic support for allowing surgery specifically.,Gallup — attitudes toward gender transition and related policies,https://news.gallup.com/poll/645704/slim-majority-adults-say-changing-gender-morally-wrong.aspx
29,Unions,fail,large majority,not established,mismatch,false,false,false,false,Republican skepticism toward unions and support for some restrictions do not establish 30% support for banning labor unions.,Gallup — labor-union approval by party,https://news.gallup.com/poll/694472/labor-union-approval-relatively-steady.aspx
30,Universal Basic Income (UBI),pass,66%,78%,proxy,true,true,true,false,"Pew reports 66% Democratic support for UBI and 78% Republican opposition. Opposition to UBI is an explicit proxy—not a direct measure—for preferring targeted welfare programs over UBI, but both party shares clear the threshold.",Pew Research Center — universal basic income by party,https://www.pewresearch.org/short-reads/2020/08/19/more-americans-oppose-than-favor-the-government-providing-a-universal-basic-income-for-all-adult-citizens/
